193,12262388,63536
224,7422686,33137
9,341595,37955
13,1005681,77360
22,2061788,93718
24,2404296,100179
28,1870251,66795
27,1722573,63799
20,1351781,67589
23,962021,41827
23,1023690,44508
23,978936,42562
239,8444168,35331
226,5720657,25313
22,2629609,119528
23,2463779,107121
21,1049944,49997
2,583547,291774
16,747456,46716
9,880701,97856
11,891923,81084
36,2303672,63991
35,764636,21847
34,977746,28757
153,5458375,35676
505,17883800,35413
1266,34034062,26883
1717,46905765,27318
24,4176214,174009
13437,482065763,35876
4474,120325058,26894
5015,141358243,28187
11,859636,78149
104,4031877,38768
342,10830600,31668
111,4222706,38042
61,2662005,43639
20,1768598,88430
22,1032288,46922
26,1176609,45254
19,1103523,58080
25,1037118,41485
76,2040477,26848
85,2294767,26997
458,23945087,52282
458,20188535,44080
95,4824295,50782
100,3002596,30026
167,5780541,34614
59,2949216,49987
76,4184107,55054
104,10128365,97388
104,5974398,57446
108,6557213,60715
123,11273743,91656
110,4516433,41058
127,6213104,48922
132,6476452,49064
20,2096496,104825
28,1775899,63425
28,3081337,110048
30,1554236,51808
46,2283823,49648
76,3174491,41770
333,18286940,54916
190,10803647,56861
569,14246898,25038
17,1172839,68991
31,1668382,53819
79,1762851,22315
42,1169646,27849
76,1011809,13313
106,1437073,13557
214,4558690,21302
75,3081112,41081
100,6041402,60414
102,4102302,40219
286,11138405,38945
230,4752973,20665
228,8156220,35773
253,64587842,255288
308,27047276,87816
314,25278167,80504
122,3597722,29490
21,1236957,58903
1894,54128847,28579
121,5887336,48656
48,1369673,28535
29,524598,18090
873,22548785,25829
383,11050909,28854
431,13712147,31815
37,1265059,34191
153,11503406,75186
260,15687160,60335
1001,26881027,26854
231,9840561,42600
458,12345408,26955
158,5872132,37165
254,4863250,19147
483,9979449,20661
1425,31611087,22183
154,6935744,45037
246,5677760,23080
24,1090398,45433
6,359842,59974
73,6355130,87057
9,419254,46584
89,2471104,27765
85,2644695,31114
85,4065464,47829
18,835270,46404
18,1064077,59115
18,1052774,58487
5,932290,186458
4,275794,68949
4,279414,69854
4,290436,72609
30,1117470,37249
14,879850,62846
14,1190169,85012
14,679057,48504
3,454918,151639
14,720270,51448
6,452012,75335
6,463115,77186
6,451894,75316
3,336057,112019
6,684060,114010
6,650765,108461
4,654149,163537
4,640779,160195
9,681758,75751
8,690605,86326
8,676981,84623
21,1449669,69032
5,414024,82805
5,377004,75401
5,436999,87400
24,2481316,103388
24,2076124,86505
27,2106069,78003
29,2476350,85391
77,2249078,29209
77,4238373,55044
64,2250415,35163
32,1535459,47983
161,10649254,66144
67,2625787,39191
67,2976365,44423
68,5498361,80858
332,16730755,50394
6,448584,74764
6,417179,69530
5,408729,81746
109,3014677,27658
45,1775163,39448
45,1767865,39286
45,1670473,37122
50,3289493,65790
5,437498,87500
5,403813,80763
5,414543,82909
9,427702,47522
9,412896,45877
8,405953,50744
25,1276337,51053
15,937383,62492
15,895836,59722
15,936906,62460
4,400125,100031
4,358893,89723
4,371279,92820
10,662648,66265
