193,6648157,34446
224,5538508,24725
9,572695,63633
13,834603,64200
22,1057361,48062
24,1421380,59224
28,1148517,41018
27,1079195,39970
20,1136309,56815
23,1359273,59099
23,1308303,56883
23,1185161,51529
239,7437165,31118
226,5244521,23206
22,2056921,93496
23,1799650,78246
21,1337972,63713
2,773254,386627
16,1149412,71838
9,854250,94917
11,2133133,193921
36,2331794,64772
35,1342413,38355
34,1990965,58558
153,4956147,32393
505,15357265,30410
1266,40306452,31838
1717,86221364,50216
24,2395399,99808
13437,364040859,27092
4474,115596644,25837
5015,144286295,28771
11,1143758,103978
104,6527739,62767
342,12129065,35465
111,3693009,33270
61,2315444,37958
20,1520820,76041
22,1671663,75985
26,1294346,49783
19,1269340,66807
25,1576080,63043
76,2528529,33270
85,3061206,36014
458,20175517,44051
458,36033736,78676
95,3346623,35228
100,5416861,54169
167,7237569,43339
59,4102646,69536
76,3416232,44950
104,4808889,46239
104,4122509,39640
108,7169269,66382
123,7280950,59195
110,3347973,30436
127,7633924,60110
132,4296869,32552
20,2107726,105386
28,1624725,58026
28,1979972,70713
30,2034178,67806
46,2426943,52760
76,3343260,43990
333,12464865,37432
190,7006930,36879
569,14275161,25088
17,1163211,68424
31,1193335,38495
79,1817783,23010
42,1177386,28033
76,2230013,29342
106,2205539,20807
214,6401823,29915
75,3418486,45580
100,3962185,39622
102,2915087,28579
286,18652531,65219
230,6016494,26159
228,5094066,22342
253,13416641,53030
308,14701302,47732
314,17055568,54317
122,2770333,22708
21,1228991,58523
1894,59754328,31549
121,4824760,39874
48,1600366,33341
29,1424367,49116
873,26308623,30136
383,14244807,37193
431,24338576,56470
37,2041293,55170
153,7125629,46573
260,8474004,32592
1001,33769255,33736
231,14153439,61270
458,11977303,26151
158,3921937,24822
254,7202369,28356
483,24041383,49775
1425,40638790,28518
154,4553812,29570
246,13104333,53270
24,1512756,63032
6,584676,97446
73,2641788,36189
9,747026,83003
89,2978962,33471
85,2565963,30188
85,3090140,36355
18,2440120,135562
18,1107436,61524
18,1797395,99855
5,986995,197399
4,427891,106973
4,491153,122788
4,591506,147877
30,123729415,4124314
14,1171146,83653
14,1227606,87686
14,824193,58871
3,652415,217472
14,1076857,76918
6,669203,111534
6,573834,95639
6,549958,91660
3,538016,179339
6,631263,105211
6,545867,90978
4,652333,163083
4,636123,159031
9,1108864,123207
8,942520,117815
8,782255,97782
21,1219830,58087
5,736003,147201
5,635937,127187
5,755240,151048
24,1661765,69240
24,1457715,60738
27,1618335,59938
29,1977857,68202
77,2365452,30720
77,2395095,31105
64,2390815,37356
32,1824992,57031
161,4659719,28942
67,2641540,39426
67,3820467,57022
68,2935092,43163
332,12202389,36754
6,690605,115101
6,672971,112162
5,494019,98804
109,3119680,28621
45,1791429,39810
45,2264316,50318
45,2305875,51242
50,2752145,55043
5,801586,160317
5,617648,123530
5,707225,141445
9,774494,86055
9,689781,76642
8,684006,85501
25,1238216,49529
15,1512455,100830
15,980468,65365
15,1198613,79908
4,1164083,291021
4,1081770,270443
4,1106259,276565
10,838977,83898
10,1185221,118522
9,851291,94588
9,1498672,166519
16,1209260,75579
16,1185617,74101
15,1542272,102818
15,1173813,78254
51,2060969,40411
53,2270875,42847
72,3531455,49048
72,3354093,46585
6,890729,148455
6,831350,138558
6,859088,143181
7,907616,129659
28,1312662,46881
21,1282212,61058
21,1553319,73968
20,1556403,77820
17,1218823,71695
23,1402988,60999
23,1526739,66380
20,1193266,59663
7,705099,100728
8,1054379,131797
8,1016464,127058
29,1817455,62671
83,2874562,34633
83,3701304,44594
11,842717,76611
5,941355,188271
9,1077731,119748
54,2273788,42107
4,650007,162502
5,721677,144335
4,786596,196649
6,820281,136714
6,929607,154935
11,1058223,96202
10,984440,98444
7,761887,108841
7,637871,91124
37,2012716,54398
39,1788540,45860
31,2046104,66003
7,843126,120447
2,602065,301033
2,672028,336014
33,1451573,43987
4,625056,156264
4,513131,128283
3,527200,175733
5,492436,98487
9,1222332,135815
3,520398,173466
3,518624,172875
15,781005,52067
80,2361020,29513
19,995717,52406
19,1142507,60132
41,1624597,39624
39,1583457,40601
41,1814559,44258
18,1221126,67840
19,980745,51618
18,1059424,58857
15,983592,65573
9,1145536,127282
10,1036370,103637
2,609153,304577
30,2574361,85812
72,2463518,34216
72,2663044,36987
72,4434096,61585
77,2912145,37820
113,5225646,46245
113,4167150,36877
78,2714604,34803
85,3617940,42564
240,8893812,37058
19,1687149,88797
22,1677679,76258
114,5490685,48164
14,1162673,83048
36,1606731,44631
41,1799282,43885
41,1911058,46611
39,1466953,37614
150,3758812,25059
125,3844699,30758
67,3078776,45952
187,6490764,34710
246,7839075,31866
270,7643848,28311
110,3547422,32249
158,4576934,28968
22,2136040,97093
3686,101148926,27441
3363,95753671,28473
16,2327705,145482
58,4213514,72647
63,3685644,58502
87,3074711,35342
107,4015027,37524
109,7162408,65710
112,4860989,43402
112,4498921,40169
