229,6094064
265,7277124
14,532542
23,1125160
26,2785241
29,2459628
40,1283355
39,1128756
21,1248643
24,957359
24,1022765
24,959684
268,9473819
37,3538461
38,2627795
26,1700018
6,709061
20,1763109
10,1276929
17,1605819
46,2328562
40,756342
39,1057020
186,3695095
544,12206720
1337,33060258
1809,40469629
27,2475056
13661,1095751870
16,1354330
119,10112651
395,12735859
136,5632768
74,3755555
26,1095544
28,1247209
32,1343572
24,1550582
30,1388529
91,4283949
99,4698424
499,16903932
499,18367351
107,2750989
112,2828962
189,5677544
88,5257302
106,4273596
134,8695399
134,6236908
138,6014537
155,7506417
131,4476560
151,12453050
155,6043731
34,2753350
42,3295609
42,3556222
35,1829697
51,2809425
87,4088476
398,13507002
252,9667214
630,12181510
35,1406577
46,2279493
94,1833843
54,1252509
86,1140237
116,1283737
228,6508718
106,3087668
151,6249047
153,7494712
304,7372973
247,4445068
259,6448279
352,11159331
408,27778819
414,20401164
145,3586132
25,583355
1926,172514495
138,4998457
54,1495424
30,583262
930,25574667
429,11075967
486,14645773
49,2297528
187,6554522
300,9364220
1023,21690872
171,5109869
280,4756390
511,10178961
1456,25364633
160,6587385
270,8737610
28,1921215
8,434705
78,3306324
11,528829
20,921921
21,985580
21,1081379
10,979432
5,338767
5,334975
5,382243
3,433762
4,300882
13,818297
12,815476
12,833754
22,1218342
6,410260
6,379225
6,398696
87,1953087
87,2190718
74,1959713
46,1469490
177,5841312
71,3962462
71,2958053
72,4794453
7,437031
7,442861
6,420679
117,2995321
47,1758400
47,1767394
47,1675507
53,3265849
6,338616
6,270927
6,320134
13,458183
13,416299
12,436081
30,1286309
18,920314
18,920405
18,1144895
6,456098
6,412041
6,418143
12,594243
12,677712
11,626541
11,630199
18,754860
18,744872
17,697477
17,681074
55,1848350
58,1997293
78,2615426
78,2665864
8,673542
8,473792
8,555146
10,556209
35,971079
23,1110876
23,972422
22,1099029
20,822475
27,750006
27,722524
24,778784
12,366189
13,623450
10,687340
35,1357698
12,466146
5,498682
9,499453
56,1822709
4,668273
6,449817
4,416853
7,568205
7,774005
15,695888
10,342635
14,848944
14,873535
47,1633441
49,1822858
7,414325
2,476931
2,477707
34,1208029
8,327956
8,332252
7,336241
9,330485
10,449904
19,578425
85,2891931
23,627077
23,696775
45,1190213
44,1250463
46,1321634
24,922831
30,1168640
27,1018569
13,571619
15,449370
3,293135
34,963665
99,2520593
99,2739991
99,2509395
104,8280837
92,4129436
107,5737680
278,8952653
26,1172929
34,1622734
143,9280764
15,1027904
45,1083570
50,1326580
50,1214853
48,1181241
128,3391088
75,2771090
203,8077961
263,9270797
291,13608585
125,2298366
222,7331722
38,3206812
3872,197502061
3545,287474345
20,1336238
64,2999291
81,4092730
102,4974497
132,2959369
134,9266896
139,7840412
139,3225938
50,1922119
50,2961960
22,1360026
22,1197520
28,1349934
12,1258225
8,967938
11,1043014
8,597165
7,495069
4,288739
4,313714
223,5124404
184,3829627
199,5119549
17,490903
9,658247
15,695252
15,780385
50,1302329
54,1550206
54,1504573
54,1503968
12,444070
44,1476302
44,1925970
45,1651215
45,1622514
123,8436335
169,5092436
153,9759460
121,5783060
129,5843387
130,5984958
131,5968667
131,10551267
131,6063576
128,9970947
129,5261048
126,5327952
6,599719
6,746825
102,2589146
16,761501
59,1809242
71,1723731
65,1739162
40,1776163
205,5177546
52,1781335
24,936591
89,1632358
731,13919400
24,636157
48,1344183
73,30912543
88,3889035
53,2767268
104,3290798
107,3272365
38,537922
406,8162604
23,762738
139,5247879
54,1194716
32,729974
42,802175
59,946562
13,985227
23,1224424
23,1288213
32,2286722
39,1514858
42,1683458
17,1728760
17,2172129
24,1205684
26,1308540
193,8376939
55,1638651
7,366773
15,695799
23,800234
25,889765
43,1577530
25,821903
14,815974
14,621723
14,541435
16,1232155
88,1724596
66,2113157
20,539195
88,2633603
5,424355
5,611446
10,491736
17,694807
33,1534431
354,12008322
800,18220643
500,19560786
11,638860
24,1011856
70,1661452
1658,37369624
1041,45565376
215,6013139
190,3844922
311,5753523
313,5634653
128,6537886
7,610404
